;,,,";무기/장비=""Equipment"",클래스(캐릭터)=""Class""",";권총=1,샷건=2,기관단총=3,소총=4,기관총=5장비=6,클래스=7,기능성(passive)=8,작동성(active)=9",,";UseType, 0= 간접사용, 1= 자동사용, 2= 수동사용, 3= 수동사용(int), 4= 수동사용(string), 5= 팝업, 6= 사용 불가(버튼 없음, ClassName 값은 Item 으로 설정 필요)",";공용=0,테러리스트1,대테러리스트2",,,,,,,,,,,,,,,,,,,,,";0=개인,1=클랜;공백=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
;ID,Name,recourcename,ClassName,Category,InGameID,UseType,Team,Level,ExpPointModCategory,ExpModPriority,ExpModMin,ExpModMax,PCBangExpModMin,PCBangExpModMax,PointModPriority,PointModMin,PointModMax,PCBangPointModMin,PCBangPointModMax,InventoryType,Damage,HitRate,Reaction,FiringSpeed,Weight,SkinBase,Period,BuyerType,ItemBoxName,TeamBonusExpOther,TeamBonusExpSelf,TeamBonusPointOther,TeamBonusPointSelf,rewardID,InGameItem,mdl,skin,DisReward1,DisReward2,DisReward3,EnhWeapon,ZombieSkin,TradeNum,TradeDay,CanExtend,SortingIndex,ItemGrade,"ItemGradeForMode(노말, 좀비, 시나리오)",zombie_damage,scen_damage,knockback,delay,ammo,WeaponPart,lockedbox key,1 = 백과사전에서는 노출 되지만 수집현황(무기/클래스) 제외 / 2 =백과사전과 수집현황에서 모두 제외
43,Arctic,arctic,Class,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,21,21,21,21,21,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1000,1,,,,,,1,0,,
44,Militia,militia,Class,7,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,21,21,21,21,21,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1000,1,,,,,,1,0,,
45,RBC,RB,Class,7,16,2,1,30,2,2,5,5,5,5,2,5,5,5,5,16,19,24,21,20,21,,1,,,0,0,0,0,0,0,,,240,9123,9204,0,0,0,0,0,1000,2,,,,,,1,0,,
46,VC,IRA,Class,7,17,2,1,0,2,2,10,10,10,10,2,10,10,20,20,16,24,19,22,20,20,,1,,,0,0,0,0,0,0,,,240,9123,9204,0,0,0,0,0,1000,1,,,,,,1,0,,
47,NLC,ETA,Class,7,18,2,1,0,2,2,5,5,5,5,0,0,0,0,0,16,16,17,24,24,24,,1,,,0,0,0,0,0,0,,,240,9123,9204,0,0,0,0,0,1000,1,,,,,,1,0,,
48,ARA,JRA,Class,7,19,2,1,0,2,2,10,10,10,10,0,0,0,0,0,16,21,18,24,18,24,,1,,,0,0,0,0,0,0,,,240,9123,9204,0,0,0,0,0,1000,1,,,,,,1,0,,
49,Urban,urban,Class,7,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,16,21,21,21,21,21,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1001,1,,,,,,1,0,,
50,GSG9,gsg9,Class,7,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,16,21,21,21,21,21,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1001,1,,,,,,1,0,,
51,GIGN,gign,Class,7,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,16,21,21,21,21,21,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1001,1,,,,,,1,0,,
52,SAS,sas,Class,7,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,16,21,21,21,21,21,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1001,1,,,,,,1,0,,
53,Spetsnaz,Spetsnaz,Class,7,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,16,24,20,18,24,19,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1001,1,,,,,,1,0,,
54,707,707,Class,7,12,2,2,30,2,2,5,5,5,5,2,5,5,5,5,16,22,24,17,23,19,,1,,,0,0,0,0,0,0,,,240,9123,9204,0,0,0,0,0,1001,2,,,,,,1,0,,
55,Sozo,sozo,Class,7,13,2,2,0,2,2,10,10,10,10,2,10,10,20,20,16,20,19,18,24,24,,1,,,0,0,0,0,0,0,,,240,9123,9204,0,0,0,0,0,1001,1,,,,,,1,0,,
56,Magui,magui,Class,7,14,2,2,0,2,2,5,5,5,5,0,0,0,0,0,16,17,19,23,23,23,,1,,,0,0,0,0,0,0,,,240,9123,9204,0,0,0,0,0,1001,1,,,,,,1,0,,
57,Sdefence,sdefence,Class,7,15,2,2,0,2,2,10,10,10,10,0,0,0,0,0,16,19,17,22,25,22,,1,,,0,0,0,0,0,0,,,240,9123,9204,0,0,0,0,0,1001,1,,,,,,1,0,,
58,NoThirdperson,NoThirdperson,PeriodicItem,8,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,0
59,ExpUp,ExpUp,PeriodicItem,8,0,2,0,0,1,1,10,10,10,10,0,0,0,0,0,17,,,,,,,1,,,0,0,0,0,0,0,,,240,9124,9208,0,0,0,0,0,2202,0,,,,,,1,0,,
60,AttackStats,AttackStats,item,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,2
61,WeaponLimitPistol,WeaponLimitPistol,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
62,NoOverview,NoOverview,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
63,NicknameUnderbar,NicknameUnderbar,NicknameUnderbar,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
64,NicknameBackground,NicknameBackground,NicknameBackground,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
65,NicknameChange,NicknameChange,NicknameChange,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,0,,,0,0,0,0,0,0,,,1,9124,0,0,0,0,0,0,2203,0,,,,,,1,0,,
66,NicknameBold,NicknameBold,NicknameBold,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
67,NicknameColor,NicknameColor,NicknameColor,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
68,NicknameCamouflage,NicknameCamouflage,NicknameCamouflage,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
69,NicknameItalic,NicknameItalic,NicknameItalic,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
70,NicknameStrike,NicknameStrike,NicknameStrike,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
71,InviteAll,InviteAll,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,1,,,0,0,0,0,0,0,,,240,9124,9208,0,0,0,0,0,2203,0,,,,,,1,0,,
72,ChannelChat,ChannelChat,ChannelChat,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,1,,,0,0,0,0,0,0,,,240,9124,9208,0,0,0,0,0,2203,0,,,,,,1,0,,
73,DoubleUp,DoubleUp,PeriodicItem,8,0,2,0,0,1,1,10,10,10,10,1,50,50,50,50,17,,,,,,,1,,,0,0,0,0,0,0,,,240,9124,9208,0,0,0,0,0,2202,0,,,,,,1,0,,
74,LevelCamouflage,LevelCamouflage,LevelCamouflage,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
75,LevelLimit,LevelLimit,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
76,ShortTimeRespawn,ShortTimeRespawn,PeriodicItem,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,1,,,0,0,0,0,0,1,,,240,9124,9208,0,0,0,0,0,3000,0,,,,,,1,0,,
77,SourceMiniMap,SourceMiniMap,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
78,RoomnameChange,RoomnameChange,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
79,Ban,Ban,Requirement,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
80,ResetPcbang,ResetPcbang,ResetCafe,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
81,WeaponLimitSniper,WeaponLimitSniper,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
82,ResetWinAndLose,ResetWinAndLose,ResetWinLose,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,0,,,0,0,0,0,0,0,,,1,9124,0,0,0,0,0,0,2203,0,,,,,,1,0,,
83,GameModeBotTraining,GameModeBotTraining,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
84,DisplayKiller,DisplayKiller,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,1,,,0,0,0,0,0,0,,,240,9124,9208,0,0,0,0,0,2203,0,,,,,,1,0,,
85,Kick,Kick,Requirement,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
86,NoChaseDeathCam,NoChaseDeathCam,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
87,GameModeClassic,GameModeClassic,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
88,WeaponLimitKnife,WeaponLimitKnife,PeriodicItem,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
89,ClannoticeExpansion,ClannoticeExpansion,ClanNoticeExpansion,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,1,1,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
90,ClanmateIncrease,ClanmateIncrease,Requirement,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,0,1,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
91,ClanmarkChange,ClanmarkChange,Requirement,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,0,1,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,0
92,ClannameUnderbar,ClannameUnderbar,ClanNameUnderbar,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,0,1,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
93,ClannameBackground,ClannameBackground,ClanNameBackground,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,0,1,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
94,ClannameChange,ClannameChange,Requirement,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,0,1,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,0
95,ClannameBold,ClannameBold,ClanNameBold,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,0,1,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
96,ClannameColor,ClannameColor,ClanNameColor,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,0,1,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
97,ClannameItalic,ClannameItalic,ClanNameItalic,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,0,1,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
98,ClannameStrike,ClannameStrike,ClanNameStrike,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,0,1,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
99,ClanmateForeword,ClanmateForeword,ClanForeword,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,0,1,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
100,ResetClanscore,ResetClanscore,Requirement,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,0,1,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
101,ClanUnion,ClanUnion,Requirement,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,0,1,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
102,ResetClanPcbang,ResetClanPcbang,ResetClanCafe,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,0,1,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2203,0,,,,,,1,0,,
103,ResetKillDeath,ResetKillDeath,ResetKillDeath,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,0,,,0,0,0,0,0,0,,,1,9124,0,0,0,0,0,0,2203,0,,,,,,1,0,,
104,VoteKick,VoteKick,Requirement,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,0,,,0,0,0,0,0,0,,,20,9124,0,0,0,0,0,0,2203,0,,,,,,1,0,,
105,DefeatInvalidation,DefeatInvalidation,Requirement,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,0,,,0,0,0,0,0,0,,,20,9124,0,0,0,0,0,0,2203,0,,,,,,1,0,,
